ref;year;month;pkd;opd;pke;ope;ctrd
c1;2014;1;NA;NA;NA;NA;NA
c1;2014;2;NA;NA;NA;NA;NA
c1;2014;3;NA;NA;NA;NA;NA
c1;2014;4;NA;NA;NA;NA;NA
c1;2014;5;NA;NA;NA;NA;NA
c1;2014;6;NA;NA;NA;NA;NA
c1;2014;7;NA;NA;NA;NA;NA
c1;2014;8;NA;NA;NA;NA;NA
c1;2014;9;NA;NA;NA;NA;NA
c1;2014;10;NA;NA;NA;NA;NA
c1;2014;11;NA;NA;NA;NA;NA
c1;2014;12;NA;NA;NA;NA;NA
c1;2015;1;NA;NA;NA;NA;NA
c1;2015;2;NA;NA;NA;NA;NA
c1;2015;3;NA;NA;NA;NA;NA
c1;2015;4;NA;NA;NA;NA;NA
c1;2015;5;NA;NA;NA;NA;NA
c1;2015;6;NA;NA;NA;NA;NA
c1;2015;7;NA;NA;NA;NA;NA
c1;2015;8;NA;NA;NA;NA;NA
c1;2015;9;NA;NA;NA;NA;NA
c1;2015;10;NA;NA;NA;NA;NA
c1;2015;11;NA;NA;NA;NA;NA
c1;2015;12;35.42;28.08;1152.00;5602.00;85.00
c1;2016;1;22.90;19.44;583.00;4267.00;85.00
c1;2016;2;33.70;29.81;1266.00;6091.00;85.00
c1;2016;3;34.99;32.40;1556.00;6539.00;85.00
c1;2016;4;32.83;30.67;1379.00;6537.00;85.00
c1;2016;5;34.56;32.40;1759.00;7499.00;85.00
c1;2016;6;34.56;44.06;1976.00;8651.00;85.00
c1;2016;7;34.56;30.67;1547.00;7306.00;85.00
c1;2016;8;48.38;36.29;2031.00;8221.00;85.00
c1;2016;9;38.02;33.70;1848.00;7578.00;85.00
c1;2016;10;38.88;34.56;1691.00;7377.00;85.00
c1;2016;11;39.74;32.83;1705.00;7268.00;85.00
c1;2016;12;34.13;30.67;1564.00;7115.00;85.00
c1;2017;1;12.53;29.38;477.00;5149.00;85.00
c1;2017;2;49.68;55.73;1397.00;8244.00;85.00
c1;2017;3;53.14;53.57;2179.00;10724.00;85.00
c1;2017;4;39.31;39.74;1767.00;9387.00;85.00
c1;2017;5;57.02;49.68;2067.00;9748.00;85.00
c1;2017;6;54.00;39.74;2035.00;9353.00;85.00
c1;2017;7;40.18;34.56;1250.00;7691.00;85.00
c1;2017;8;46.66;42.77;2333.00;9784.00;85.00
c1;2017;9;47.52;45.79;1936.00;9505.00;85.00
c1;2017;10;42.34;41.04;1706.00;8231.00;85.00
c1;2017;11;42.34;39.74;1491.00;7357.00;85.00
c1;2017;12;47.09;48.38;1572.00;8562.00;85.00
c1;2018;1;13.82;23.33;634.00;5579.00;85.00
c1;2018;2;35.85;43.63;907.52;6363.14;85.00
c1;2018;3;56.16;50.54;2471.58;10836.07;85.00
c1;2018;4;45.36;40.60;1988.28;9624.74;85.00
c1;2018;5;44.06;39.31;2048.32;9390.49;85.00
c1;2018;6;47.08;44.92;1745.60;8918.31;85.00
c1;2018;7;44.06;34.12;1399.03;7459.45;85.00
c1;2018;8;44.06;40.17;2232.57;9594.39;85.00
c1;2018;9;44.06;42.33;1733.61;8733.42;85.00
